site,age,total_cover,open_space,cover01
USA-CBB,60,82,17,0.82
USA-CBB,90,100,0,1
USA-CBB,90,99,1,0.99
USA-CBB,90,100,0,1
USA-CBB,90,100,0,1
USA-CBB,90,99,1,0.99
USA-CBB,90,100,0,1
USA-HIK,30,43,57,0.43
USA-HIK,30,51,49,0.51
USA-HIK,30,45,55,0.45
USA-HIK,30,48,52,0.48
USA-HIK,30,51,47,0.51
USA-HIK,60,100,0,1
USA-HIK,60,97,3,0.97
USA-HIK,60,95,5,0.95
USA-HIK,60,99,1,0.99
USA-HIK,60,86,14,0.86
USA-HIK,60,89,5,0.89
USA-HIK,90,92,2,0.92
USA-HIK,90,89,3,0.89
USA-HIK,90,92,3,0.92
USA-HIK,90,93,6,0.93
USA-HIK,90,97,0,0.97
USA-HIK,90,79,13,0.79
USA-IRL,30,100,0,1
USA-IRL,30,100,0,1
USA-IRL,30,89,11,0.89
USA-IRL,30,83,16,0.83
USA-IRL,30,97,3,0.97
USA-IRL,30,98,2,0.98
USA-IRL,60,99,1,0.99
USA-IRL,60,99,1,0.99
USA-IRL,60,100,0,1
USA-IRL,60,100,0,1
USA-IRL,60,100,0,1
USA-IRL,60,99,1,0.99
USA-IRL,90,100,0,1
USA-IRL,90,100,0,1
USA-IRL,90,100,0,1
USA-IRL,90,98,2,0.98
USA-IRL,90,100,0,1
USA-IRL,90,96,4,0.96
USA-LIS,30,37,63,0.37
USA-LIS,30,67,33,0.67
USA-LIS,30,0,90,0
USA-LIS,30,55,45,0.55
USA-LIS,30,64,33,0.64
USA-LIS,30,37,53,0.37
USA-LIS,60,69,31,0.69
USA-LIS,60,28,72,0.28
USA-LIS,60,28,72,0.28
USA-LIS,60,35,65,0.35
USA-LIS,60,36,64,0.36
USA-LIS,60,33,67,0.33
USA-LIS,90,45,55,0.45
USA-LIS,90,55,45,0.55
USA-LIS,90,55,45,0.55
USA-LIS,90,54,46,0.54
USA-LIS,90,42,58,0.42
USA-LIS,90,41,59,0.41
USA-MDA,30,99,1,0.99
USA-MDA,30,100,0,1
USA-MDA,30,99,1,0.99
USA-MDA,30,99,1,0.99
USA-MDA,30,94,6,0.94
USA-MDA,30,98,2,0.98
USA-MDA,60,100,0,1
USA-MDA,60,100,0,1
USA-MDA,60,100,0,1
USA-MDA,60,100,0,1
USA-MDA,60,100,0,1
USA-MDA,60,100,0,1
USA-MDA,90,100,0,1
USA-MDA,90,95,5,0.95
USA-MDA,90,99,1,0.99
USA-MDA,90,100,0,1
USA-MDA,90,100,0,1
USA-MDA,90,100,0,1
USA-MWH,30,72,28,0.72
USA-MWH,30,77,23,0.77
USA-MWH,30,66,34,0.66
USA-MWH,30,66,34,0.66
USA-MWH,30,76,24,0.76
USA-MWH,30,78,22,0.78
USA-MWH,60,66,34,0.66
USA-MWH,60,68,32,0.68
USA-MWH,60,58,42,0.58
USA-MWH,60,50,50,0.5
USA-MWH,60,74,26,0.74
USA-MWH,60,62,38,0.62
USA-MWH,90,83,17,0.83
USA-MWH,90,88,12,0.88
USA-MWH,90,86,14,0.86
USA-MWH,90,85,15,0.85
USA-MWH,90,79,21,0.79
USA-MWH,90,84,16,0.84
USA-SDB,30,36,64,0.36
USA-SDB,30,25,75,0.25
USA-SDB,30,44,56,0.44
USA-SDB,30,67,33,0.67
USA-SDB,30,20,80,0.2
USA-SDB,30,19,81,0.19
USA-SDB,60,80,20,0.8
USA-SDB,60,94,6,0.94
USA-SDB,60,87,13,0.87
USA-SDB,60,98,2,0.98
USA-SDB,60,76,24,0.76
USA-SDB,60,86,14,0.86
USA-SDB,90,99,1,0.99
USA-SDB,90,98,2,0.98
USA-SDB,90,99,1,0.99
USA-SDB,90,99,1,0.99
USA-SDB,90,95,5,0.95
USA-SDB,90,91,9,0.91
USA-SFB,30,31,69,0.31
USA-SFB,30,56,44,0.56
USA-SFB,30,49,51,0.49
USA-SFB,30,21,79,0.21
USA-SFB,30,31,69,0.31
USA-SFB,30,54,46,0.54
USA-SFB,60,95,5,0.95
USA-SFB,60,82,18,0.82
USA-SFB,60,98,2,0.98
USA-SFB,60,99,1,0.99
USA-SFB,60,95,5,0.95
USA-SFB,60,89,11,0.89
USA-SFB,90,92,8,0.92
USA-SFB,90,93,7,0.93
USA-SFB,90,89,11,0.89
USA-SFB,90,92,8,0.92
USA-SFB,90,94,6,0.94
USA-SFB,90,99,1,0.99
USA-TMA,30,86,3,0.86
USA-TMA,30,71,14,0.71
USA-TMA,30,55,5,0.55
USA-TMA,30,55,21,0.55
USA-TMA,30,62,13,0.62
USA-TMA,30,52,13,0.52
USA-TMA,60,53,21,0.53
USA-TMA,60,75,8,0.75
USA-TMA,60,55,20,0.55
USA-TMA,60,76,13,0.76
USA-TMA,60,52,7,0.52
USA-TMA,60,65,15,0.65
USA-TMA,90,61,15,0.61
USA-TMA,90,51,5,0.51
USA-TMA,90,40,0,0.4
USA-TMA,90,52,5,0.52
USA-TMA,90,53,5,0.53
USA-TMA,90,52,12,0.52
USA-VAS,30,92,8,0.92
USA-VAS,30,98,2,0.98
USA-VAS,30,75,24,0.75
USA-VAS,30,86,11,0.86
USA-VAS,30,100,0,1
USA-VAS,30,87,13,0.87
USA-VAS,60,99,1,0.99
USA-VAS,60,98,2,0.98
USA-VAS,60,100,0,1
USA-VAS,60,99,1,0.99
USA-VAS,60,100,0,1
USA-VAS,60,100,0,1
USA-VAS,90,94,6,0.94
USA-VAS,90,100,0,1
USA-VAS,90,96,4,0.96
USA-VAS,90,99,1,0.99
USA-VAS,90,99,1,0.99
USA-VAS,90,91,9,0.91
USA-WAS,30,0,100,0
USA-WAS,30,0,100,0
USA-WAS,30,0,100,0
USA-WAS,30,0,100,0
USA-WAS,30,0,100,0
USA-WAS,60,4,96,0.04
USA-WAS,60,2,98,0.02
USA-WAS,60,3,97,0.03
USA-WAS,60,0,100,0
USA-WAS,60,2,98,0.02
USA-WAS,60,5,95,0.05
USA-WAS,90,11,89,0.11
USA-WAS,90,5,95,0.05
USA-WAS,90,3,97,0.03
USA-WAS,90,5,95,0.05
USA-WAS,90,6,94,0.06
USA-WAS,90,8,92,0.08
