panel,site,age,lat,temp,salinity,rugosity,richness,sh_diversity,rugosity_raw,rug1,rug2,age_factor,logrug,ar_bryo,col_asc,sol_asc,sabellids,sponge,open_space,total_cover,ocean,temp_mean,sal_mean,estimate,total_richness
2021_PAN-BDT_30d_04,BDT,30,9.35,28.67,32.5,0.993775231,18,2.023797,0.993775231,1.0062637594556831,0.006224769000000019,30,-5.079218945753633,0,5,23,0,3,28.000000000000004,72,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_30d_05,BDT,30,9.35,28.67,32.5,0.995778911,14,1.692616,0.995778911,1.0042389821208013,0.004221088999999956,30,-5.467662127353137,0,39,10,2,0,43,57,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_30d_06,BDT,30,9.35,28.67,32.5,0.996742244,15,2.346185,0.996742244,1.003268403661639,0.0032577560000000005,30,-5.726716664179002,0,18,9,1,1,60,40,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_60d_07,BDT,60,9.35,28.67,31.3,0.984365695,16,1.597838,0.984365695,1.0158826187050332,0.01563430499999996,60,-4.158287740611342,0,1,5,0,51,19,81,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_60d_08,BDT,60,9.35,28.67,31.3,0.933890675,17,1.594712,0.933890675,1.070789147776853,0.066109325,60,-2.71644546794441,0,54,12,0,0,4,96,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_60d_09,BDT,60,9.35,28.67,31.3,0.993277618,24,2.527891,0.993277618,1.0067678782630134,0.006722381999999971,60,-5.002312722968992,0,14,3,1,14,24,76,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_60d_10,BDT,60,9.35,28.67,31.3,0.975214064,21,2.352068,0.975214064,1.0254158926895869,0.02478593600000001,60,-3.6974788834455876,0,21,15,5,4,26,74,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_60d_11,BDT,60,9.35,28.67,31.3,0.993212048,25,2.469942,0.993212048,1.0068343431935494,0.0067879520000000415,60,-4.992606002937451,0,26,4,1,10,18,82,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_60d_12,BDT,60,9.35,28.67,31.3,0.929707964,24,1.892853,0.929707964,1.0756065761742792,0.070292036,60,-2.6550967725003485,0,49,19,1,4,3,97,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_90d_13,BDT,90,9.35,29.54,32.6,0.860330348,18,2.272058,0.860330348,1.1623442115283837,0.13966965200000003,90,-1.9684752732548738,0,32,41,0,5,1,99,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_90d_14,BDT,90,9.35,29.54,32.6,0.828487817,18,2.316682,0.828487817,1.2070183525704157,0.17151218300000004,90,-1.7631009769983397,0,12,35,0,1,2,98,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_90d_15,BDT,90,9.35,29.54,32.6,0.815861971,17,2.108605,0.815861971,1.2256975267204848,0.18413802899999998,90,-1.6920696449920403,0,37,22,1,10,0,100,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_PAN-BDT_90d_16,BDT,90,9.35,29.54,32.6,0.973977827,16,2.049332,0.973977827,1.0267174182806114,0.026022172999999982,90,-3.6488062967022166,0,8,11,1,2,23,77,Atlantic,28.887500000000003,32.075,1.2313131313131311,49
2021_POR-MAD_30d_01,MAD,30,32.74,22.79,35.54,0.994755894,8,1.442432,0.994755894,1.0052717516243237,0.005244106000000026,30,-5.2506504997075485,17,1,0,0,0,74,26,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_30d_02,MAD,30,32.74,22.79,35.54,0.994926826,9,1.586433,0.994926826,1.005099042328968,0.005073173999999958,30,-5.2837886217545735,14,2,0,0,2,69,31,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_30d_03,MAD,30,32.74,22.79,35.54,0.995211231,10,1.664903,0.995211231,1.0048118116544849,0.004788769000000026,30,-5.341481894324809,22,6,0,0,0,56.00000000000001,43.99999999999999,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_30d_04,MAD,30,32.74,22.79,35.54,0.978707775,9,1.536678,0.978707775,1.0217554468697259,0.021292225000000053,30,-3.8494132963782186,35,7.000000000000001,0,0,1,44,56,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_30d_05,MAD,30,32.74,22.79,35.54,0.998465625,9,1.533983,0.998465625,1.0015367329245812,0.0015343749999999767,30,-6.4796321469814036,4,43,0,0,0,32,68,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_30d_06,MAD,30,32.74,22.79,35.54,0.996758452,10,1.371276,0.996758452,1.003252089805204,0.003241547999999983,30,-5.731704285499587,0,16,0,0,0,71,29,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_60d_07,MAD,60,32.74,22.79,35.78,0.997766118,10,1.563603,0.997766118,1.0022388834013303,0.002233881999999965,60,-6.104014399783887,0,5,0,0,1,60,40,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_60d_08,MAD,60,32.74,22.79,35.78,0.954597751,13,1.939687,0.954597751,1.0475616551080686,0.045402249000000006,60,-3.0921936377168393,14,54,0,0,0,13,87,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_60d_09,MAD,60,32.74,22.79,35.78,0.970005514,17,1.830515,0.970005514,1.0309219747383827,0.029994485999999987,60,-3.506741714213272,40,12,0,0,1,27,73,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_60d_10,MAD,60,32.74,22.79,35.78,0.994013981,17,1.644104,0.994013981,1.0060220672087308,0.005986018999999954,60,-5.1183286954838385,6,34,0,0,0,35,65,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_60d_11,MAD,60,32.74,22.79,35.78,NA,15,1.430118,NA,NA,NA,60,NA,2,38,0,0,1,38,62,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_60d_12,MAD,60,32.74,22.79,35.78,0.993572622,11,1.837933,0.993572622,1.0064689564282299,0.006427378000000039,60,-5.047188599945632,3,32,0,0,0,34,66,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_90d_13,MAD,90,32.74,23.95,35.85,0.961812312,17,2.517433,0.961812312,1.0397038876749167,0.03818768800000005,90,-3.2652421189855168,14,14,0,3,12,23,77,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_90d_14,MAD,90,32.74,23.95,35.85,0.982165713,16,2.03399,0.982165713,1.0181581241983348,0.017834287000000004,90,-4.026632438542596,13,7,0,0,0,47,53,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_90d_15,MAD,90,32.74,23.95,35.85,0.980320803,19,1.403255,0.980320803,1.0200742419621998,0.01967919699999998,90,-3.928193191036018,7,69,0,1,0,6,94,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_90d_16,MAD,90,32.74,23.95,35.85,0.974816309,16,1.688021,0.974816309,1.0258342938741292,0.025183690999999953,90,-3.681558676517464,17,36,0,2,0,10,90,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_90d_17,MAD,90,32.74,23.95,35.85,0.971819421,18,1.760053,0.971819421,1.028997752453848,0.02818057900000004,90,-3.5691222262358075,10,43,0,1,0,10,90,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_POR-MAD_90d_18,MAD,90,32.74,23.95,35.85,0.960320837,16,1.43419,0.960320837,1.04131865254945,0.03967916299999996,90,-3.226929090537942,5,58,0,1,0,17,83,Atlantic,23.176666666666666,35.723333333333336,0.9924603174603174,27
2021_USA-ALD_30d_01,ALD,30,30.25,28.71,10.7,0.995856076,2,0.649682,0.995856076,1.0041611675621287,0.0041439239999999655,30,-5.486112113961479,0,0,0,0,0,18,82,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_30d_02,ALD,30,30.25,28.71,10.7,0.993682727,2,0.3796778,0.993682727,1.0063574346502653,0.006317272999999957,30,-5.0644676512826,0,0,0,0,0,25,75,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_30d_03,ALD,30,30.25,28.71,10.7,0.990930053,3,0.3170678,0.990930053,1.0091529638974426,0.009069946999999967,30,-4.70278885831208,0,0,0,0,0,17,83,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_30d_04,ALD,30,30.25,28.71,10.7,0.989323484,3,0.1914441,0.989323484,1.0107917341220214,0.01067651599999997,30,-4.53970871589897,0,0,0,0,0,16,84,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_30d_05,ALD,30,30.25,28.71,10.7,0.987904496,4,0.6172418,0.987904496,1.0122435964700782,0.012095504000000035,30,-4.414921465676702,0,0,0,0,0,9,91,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_30d_06,ALD,30,30.25,28.71,10.7,0.992739415,2,0.2011139,0.992739415,1.0073136866435388,0.007260585000000042,30,-4.925294874879304,0,0,0,0,0,20,80,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_60d_07,ALD,60,30.25,30.8,16.3,NA,3,0.4044324,NA,NA,NA,60,NA,0,0,0,0,0,10,90,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_60d_08,ALD,60,30.25,30.8,16.3,NA,2,0.1538376,NA,NA,NA,60,NA,0,0,0,0,0,0,100,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_60d_09,ALD,60,30.25,30.8,16.3,0.993027163,2,0.3093808,0.993027163,1.0070217988588899,0.006972836999999954,60,-4.965733106894878,0,0,0,0,0,0,100,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_60d_10,ALD,60,30.25,30.8,16.3,0.98045025,3,0.4080213,0.98045025,1.0199395634811659,0.019549750000000032,60,-3.9347927803563096,0,0,0,0,0,6,94,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_60d_11,ALD,60,30.25,30.8,16.3,NA,2,0.2755892,NA,NA,NA,60,NA,0,0,0,0,0,11,89,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_60d_12,ALD,60,30.25,30.8,16.3,0.987034419,3,0.3795349,0.987034419,1.0131358955173375,0.012965581000000004,60,-4.345457048037616,0,0,0,0,0,7.000000000000001,93,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_90d_13,ALD,90,30.25,28.53,10.2,0.996654267,2,0.2547305,0.996654267,1.0033569645069307,0.003345732999999962,90,-5.700069476373714,0,0,0,0,0,28.999999999999996,71,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_90d_14,ALD,90,30.25,28.53,10.2,0.981002203,2,0.1732052,0.981002203,1.0193657026884373,0.01899779700000004,90,-3.9634322539065314,0,0,0,0,0,28.000000000000004,72,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_90d_15,ALD,90,30.25,28.53,10.2,NA,2,0.5565544,NA,NA,NA,90,NA,0,0,0,0,0,41,59,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_90d_16,ALD,90,30.25,28.53,10.2,NA,3,0.312357,NA,NA,NA,90,NA,0,0,0,0,0,10,90,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_90d_17,ALD,90,30.25,28.53,10.2,NA,3,0.706845,NA,NA,NA,90,NA,0,0,0,0,0,32,68,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-ALD_90d_18,ALD,90,30.25,28.53,10.2,NA,2,0.4493604,NA,NA,NA,90,NA,0,0,0,0,0,25,75,Atlantic,29.346666666666668,12.4,1.1634920634920634,5
2021_USA-CBB_30d_01,CBB,30,38.33,15.39,35,0.981575658,5,0.995027,0.981575658,1.018770170032069,0.018424341999999982,30,-3.994082553891793,5,0,0,0,0,91,9,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_30d_02,CBB,30,38.33,15.39,35,0.998832526,7,1.5171064,0.998832526,1.0011688385886623,0.0011674739999999462,30,-6.752912838476524,3,2,1,0,0,88,12,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_30d_03,CBB,30,38.33,15.39,35,0.996304207,7,1.6642868,0.996304207,1.003709502553571,0.0036957930000000028,30,-5.6005601332646275,2,14,0,0,0,78,22,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_30d_04,CBB,30,38.33,15.39,35,0.995016561,9,1.5062039,0.995016561,1.0050083980461506,0.004983438999999978,30,-5.301635064024979,4,24.000000000000004,0,0,0,68,32,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_30d_05,CBB,30,38.33,15.39,35,0.989036641,9,1.7782333,0.989036641,1.0110848865911732,0.010963359000000006,30,-4.513196566314897,1,8,0,0,0,87,13,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_30d_06,CBB,30,38.33,15.39,35,0.997567388,8,1.518035,0.997567388,1.0024385440314736,0.0024326120000000007,30,-6.0187897017986005,0,19,0,0,0,72,28,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_60d_07,CBB,60,38.33,16.31,35,NA,10,1.6069369,NA,NA,NA,60,NA,33,49,0,2,0,6,94,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_60d_08,CBB,60,38.33,16.31,35,NA,7,1.1919858,NA,NA,NA,60,NA,61,15,2,0,0,15,85,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_60d_09,CBB,60,38.33,16.31,35,NA,6,1.0591116,NA,NA,NA,60,NA,57.99999999999999,32,0,0,0,0,100,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_60d_10,CBB,60,38.33,16.31,35,NA,10,1.6603225,NA,NA,NA,60,NA,38,24,6,1,0,18,82,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_60d_11,CBB,60,38.33,16.31,35,NA,9,1.4065213,NA,NA,NA,60,NA,32,51,1,0,0,10,90,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_60d_12,CBB,60,38.33,16.31,35,NA,8,1.0878348,NA,NA,NA,60,NA,66,9,0,1,0,19,81,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_90d_13,CBB,90,38.33,16.31,35,0.749377825,9,1.1349228,0.749377825,1.334440340558516,0.25062217499999995,90,-1.38380875280528,56.99999999999999,24,19,0,0,0,100,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_90d_14,CBB,90,38.33,16.31,35,0.7459193,10,1.1301693,0.7459193,1.340627598722811,0.25408070000000005,90,-1.3701033458893777,69,22,5,1,0,0,100,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_90d_15,CBB,90,38.33,16.31,35,0.776710499,6,0.9474762,0.776710499,1.2874809871728026,0.223289501,90,-1.4992861387066738,56.00000000000001,39,5,0,0,0,100,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_90d_16,CBB,90,38.33,16.31,35,NA,6,0.7880841,NA,NA,NA,90,NA,81,17,1,1,0,0,100,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_90d_17,CBB,90,38.33,16.31,35,NA,8,1.1864346,NA,NA,NA,90,NA,64,21,12,1,0,0,100,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-CBB_90d_18,CBB,90,38.33,16.31,35,NA,7,0.9047839,NA,NA,NA,90,NA,70,8,22,0,0,0,100,Pacific,16.003333333333334,35,1.1825396825396823,18
2021_USA-HIK_30d_01,HIK,30,21.43,22,34,0.999181853,12,1.3486797,0.999181853,1.0008188169126007,8.181470000000468e-4,30,-7.1084685309052995,1,5,0,3,1,54,46,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_30d_02,HIK,30,21.43,22,34,0.995877798,10,1.5377408,0.995877798,1.0041392648859915,0.004122202000000019,30,-5.491367792377372,0,0,2,5,11,37,63,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_30d_04,HIK,30,21.43,22,34,0.999519365,8,1.1334369,0.999519365,1.000480866121088,4.806349999999515e-4,30,-7.640402411679041,0,0,1,4,1,44,56,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_30d_05,HIK,30,21.43,22,34,0.997273122,9,1.4593999,0.997273122,1.002734334195763,0.0027268780000000437,30,-5.904597913926549,0,0,1,10,11,34,66,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_30d_06,HIK,30,21.43,22,34,0.978668239,9,1.292709,0.978668239,1.0217967234962042,0.021331761000000005,30,-3.8475581901317835,8,0,0,7.000000000000001,6,39,61,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_60d_07,HIK,60,21.43,26.9,34,NA,13,2.00962,NA,NA,NA,60,NA,0,0,8,5,47,0,100,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_60d_08,HIK,60,21.43,26.9,34,0.936171002,9,1.1843842,0.936171002,1.068180917656751,0.06382899799999997,60,-2.751547677785059,0,0,4,14.000000000000002,8,0,100,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_60d_09,HIK,60,21.43,26.9,34,0.948281169,10,1.2884784,0.948281169,1.0545395529203005,0.051718830999999965,60,-2.9619333278087856,0,27,1,1,10,2,98,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_60d_10,HIK,60,21.43,26.9,34,0.971572823,6,0.8949298,0.971572823,1.0292589256585247,0.02842717699999997,60,-3.560409654767218,0,0,1,3,1,0,100,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_60d_11,HIK,60,21.43,26.9,34,0.9728321,8,0.8424369,0.9728321,1.0279266072737525,0.027167900000000023,60,-3.605719149660916,0,1,2,2,1,8,92,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_60d_12,HIK,60,21.43,26.9,34,0.95875194,11,1.9754158,0.95875194,1.0430226613152929,0.04124806000000003,60,-3.188151197610436,0,6,6,1,9,12,88,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_90d_13,HIK,90,21.43,26.99,33,0.971936242,9,1.289626,0.971936242,1.028874072997064,0.02806375800000005,90,-3.5732762859766347,3,4,1,4,1,1,99,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_90d_14,HIK,90,21.43,26.99,33,0.961355286,10,1.3707245,0.961355286,1.040198160412466,0.038644714000000024,90,-3.2533452791493547,0,1,3,3,3,4,96,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_90d_15,HIK,90,21.43,26.99,33,0.983646877,10,1.6620582,0.983646877,1.0166249935646368,0.016353123000000025,90,-4.113336390704491,3,13,3,2,6,1,99,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_90d_16,HIK,90,21.43,26.99,33,0.983185603,11,0.5355732,0.983185603,1.0171019560789887,0.01681439699999998,90,-4.085519795271457,0,0,0,1,11,7.000000000000001,93,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_90d_17,HIK,90,21.43,26.99,33,0.903390171,13,1.5298178,0.903390171,1.1069414214381574,0.09660982900000004,90,-2.3370747934573903,0,3,3,10,26,4,96,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-HIK_90d_18,HIK,90,21.43,26.99,33,0.985849315,11,1.4051587,0.985849315,1.014353801118176,0.014150685000000052,90,-4.257992246170615,1,5,6,1,2,17,83,Pacific,25.490588235294116,33.64705882352941,1.2634538152610444,26
2021_USA-IRL_30d_01,IRL,30,27.46,28.37,35.5,0.948583931,19,2.267631,0.948583931,1.0542029727889202,0.05141606899999995,30,-2.9678045289193435,4,79,0,1,0,0,100,Atlantic,28.386666666666667,32.65,1.4015873015873015,40
2021_USA-IRL_30d_02,IRL,30,27.46,28.37,35.5,0.897944236,18,2.287532,0.897944236,1.1136549018395838,0.10205576400000005,30,-2.282235909204728,18,64,2,7.000000000000001,0,0,100,Atlantic,28.386666666666667,32.65,1.4015873015873015,40
2021_USA-IRL_30d_03,IRL,30,27.46,28.37,35.5,0.953150525,18,2.245151,0.953150525,1.0491522312281159,0.04684947500000003,30,-3.0608154763370137,3,56,0,15,1,5,95,Atlantic,28.386666666666667,32.65,1.4015873015873015,40
2021_USA-IRL_30d_04,IRL,30,27.46,28.37,35.5,0.905859262,23,2.478301,0.905859262,1.103924242925056,0.094140738,30,-2.3629644036517234,12,25,2,12,3,14.000000000000002,86,Atlantic,28.386666666666667,32.65,1.4015873015873015,40
2021_USA-IRL_30d_05,IRL,30,27.46,28.37,35.5,0.945916756,21,2.285683,0.945916756,1.0571754794033905,0.054083243999999975,30,-2.917230863839369,18,59,0,9,0,2,98,Atlantic,28.386666666666667,32.65,1.4015873015873015,40
2021_USA-IRL_30d_06,IRL,30,27.46,28.37,35.5,0.934228254,20,2.478857,0.934228254,1.0704022231380728,0.06577174600000002,30,-2.7215649249633147,15,55,0,8,0,4,96,Atlantic,28.386666666666667,32.65,1.4015873015873015,40
2021_USA-IRL_60d_07,IRL,60,27.46,28.39,33.15,0.83065690700000006,19,2.252235,0.83065690700000006,1.203866471912693,0.16934309299999994,60,-1.775828485905874,16,54,2,11,0,1,99,Atlantic,28.386666666666667,32.65,1.4015873015873015,40
2021_USA-IRL_60d_08,IRL,60,27.46,28.39,33.15,0.843329584,16,1.921805,0.843329584,1.1857760227702387,0.15667041599999998,60,-1.8536109413176127,26,54,0,18,0,0,100,Atlantic,28.386666666666667,32.65,1.4015873015873015,40
