site,age,lat,total_richness,temp,salinity,richness,shannon,mfrichness,rug2,total_cover,ar_bryo,logrug
SBH,30,34.41,20,18.43,33,10,1.7076448333333334,3.8333333333333335,0.0036261275000000017,23.333333333333332,1.3333333333333333,-5.619590004553936
SBH,60,34.41,20,17.88,33,10.666666666666666,1.9252433333333332,4.666666666666667,0.07499741400000003,74.5,14,-2.5903016460402752
SBH,90,34.41,20,17.41,33,12.833333333333334,1.5657896666666666,5.166666666666667,0.3685407625,96.83333333333333,5.833333333333333,-0.9982039561026887
SDB,30,32.72,37,21,33,16.166666666666668,2.0011865,7.166666666666667,0.008853540500000015,47.5,2.8333333333333335,-4.726937843466387
SDB,60,32.72,37,22,33,21.166666666666668,2.2913473333333334,8.833333333333334,0.05629394783333334,90.16666666666667,3.1666666666666665,-2.8771682481347067
SDB,90,32.72,37,22,33,19,2.2038591666666667,9,0.1620506651666667,98.66666666666667,3.5,-1.8198462447028094
SFB,30,37.81,28,17.25,28.6,13.666666666666666,1.9631011666666667,5.333333333333333,0.020530833999999998,44.333333333333336,10.333333333333334,-3.8858274252985687
SFB,60,37.81,28,17.72,29.2,11.166666666666666,1.5984863333333332,4.166666666666667,0.2231888096,95.5,49.166666666666664,-1.4997371859325592
SFB,90,37.81,28,18.41,39.5,13.833333333333334,1.6116326666666667,4.333333333333333,0.29771607533333333,95.5,51.166666666666664,-1.2116150139858428
TMA,30,27.84,10,29.31,29.32,5.166666666666667,1.15612455,3.8333333333333335,0.005761814333333355,90.5,0,-5.156502865446846
TMA,60,27.84,10,29.8,29.88,5.333333333333333,1.34341925,3.6666666666666665,0.029829522799999997,85.66666666666667,0,-3.5122566779015747
TMA,90,27.84,10,30.49,36.22,5.5,1.3831723666666667,4,0.04809336633333333,82.66666666666667,0,-3.034611025449355
VCR,30,37.29,16,27.23,30.8,7.666666666666667,1.4335038500000001,6.5,0.0799763854,88.66666666666667,42,-2.526023870383185
VCR,60,37.29,16,27.83,30.2,7.333333333333333,1.0330340666666666,5.166666666666667,0.1525002526666667,99.33333333333333,22.666666666666668,-1.880589026105442
VCR,90,37.29,16,23.79,31,7.833333333333333,0.9615971833333333,4.5,0.2200236575,96.33333333333333,14.333333333333334,-1.5140202043202424
WAS,30,48.55,6,11.75,29,1.1666666666666667,0,1,0.0024144258333333632,1.3333333333333333,0,-6.026293770317174
WAS,60,48.55,6,12.28,30.1,1.8333333333333333,0.40278946666666665,1.6666666666666667,0.0024645897500000236,3.3333333333333335,0,-6.005729915358771
WAS,90,48.55,6,11.2,30.7,2.8333333333333335,0.1732868,1.3333333333333333,0.046331764666666664,6.666666666666667,0,-3.071927491207794
