panel,site,age,total_cover,open_space
2021_USA-CBB_60d_11,CBB,60,90,10
2021_USA-CBB_60d_12,CBB,60,81,19
2021_USA-CBB_90d_13,CBB,90,100,0
2021_USA-CBB_90d_14,CBB,90,100,0
2021_USA-CBB_90d_15,CBB,90,100,0
2021_USA-CBB_90d_16,CBB,90,100,0
2021_USA-CBB_90d_17,CBB,90,100,0
2021_USA-CBB_90d_18,CBB,90,100,0
2021_USA-HIK_30d_01,HIK,30,46,54
2021_USA-HIK_30d_02,HIK,30,63,37
2021_USA-HIK_30d_04,HIK,30,56,44
2021_USA-HIK_30d_05,HIK,30,66,34
2021_USA-HIK_30d_06,HIK,30,61,39
2021_USA-HIK_60d_07,HIK,60,100,0
2021_USA-HIK_60d_08,HIK,60,100,0
2021_USA-HIK_60d_09,HIK,60,98,2
2021_USA-HIK_60d_10,HIK,60,100,0
2021_USA-HIK_60d_11,HIK,60,92,8
2021_USA-HIK_60d_12,HIK,60,88,12
2021_USA-HIK_90d_13,HIK,90,99,1
2021_USA-HIK_90d_14,HIK,90,96,4
2021_USA-HIK_90d_15,HIK,90,99,1
2021_USA-HIK_90d_16,HIK,90,93,7.000000000000001
2021_USA-HIK_90d_17,HIK,90,96,4
2021_USA-HIK_90d_18,HIK,90,83,17
2021_USA-IRL_30d_01,IRL,30,100,0
2021_USA-IRL_30d_02,IRL,30,100,0
2021_USA-IRL_30d_03,IRL,30,95,5
2021_USA-IRL_30d_04,IRL,30,86,14.000000000000002
2021_USA-IRL_30d_05,IRL,30,98,2
2021_USA-IRL_30d_06,IRL,30,96,4
2021_USA-IRL_60d_07,IRL,60,99,1
2021_USA-IRL_60d_08,IRL,60,100,0
2021_USA-IRL_60d_09,IRL,60,99,1
2021_USA-IRL_60d_10,IRL,60,100,0
2021_USA-IRL_60d_11,IRL,60,100,0
2021_USA-IRL_60d_12,IRL,60,100,0
2021_USA-IRL_90d_13,IRL,90,100,0
2021_USA-IRL_90d_14,IRL,90,100,0
2021_USA-IRL_90d_15,IRL,90,100,0
2021_USA-IRL_90d_16,IRL,90,98,2
2021_USA-IRL_90d_17,IRL,90,100,0
2021_USA-IRL_90d_18,IRL,90,89,11
2021_USA-LIS_30d_01,LIS,30,50,50
2021_USA-LIS_30d_02,LIS,30,77,23
2021_USA-LIS_30d_03,LIS,30,49,51
2021_USA-LIS_30d_04,LIS,30,60,40
2021_USA-LIS_30d_05,LIS,30,79,21
2021_USA-LIS_30d_06,LIS,30,83,17
2021_USA-LIS_60d_07,LIS,60,92,8
2021_USA-LIS_60d_08,LIS,60,78,22
2021_USA-LIS_60d_09,LIS,60,72,28.000000000000004
2021_USA-LIS_60d_10,LIS,60,81,19
2021_USA-LIS_60d_11,LIS,60,81,19
2021_USA-LIS_60d_12,LIS,60,89,11
2021_USA-LIS_90d_13,LIS,90,80,20
2021_USA-LIS_90d_14,LIS,90,86,14.000000000000002
2021_USA-LIS_90d_15,LIS,90,86,14.000000000000002
2021_USA-LIS_90d_16,LIS,90,81,19
2021_USA-LIS_90d_17,LIS,90,82,18
2021_USA-LIS_90d_18,LIS,90,95,5
2021_USA-MDA_30d_01,MDA,30,91,9
2021_USA-MDA_30d_02,MDA,30,90,10
2021_USA-MDA_30d_03,MDA,30,88,12
2021_USA-MDA_30d_04,MDA,30,94,6
2021_USA-MDA_30d_05,MDA,30,90,10
2021_USA-MDA_30d_06,MDA,30,99,1
2021_USA-MDA_60d_07,MDA,60,95,5
2021_USA-MDA_60d_08,MDA,60,99,1
2021_USA-MDA_60d_09,MDA,60,100,0
2021_USA-MDA_60d_10,MDA,60,98,2
2021_USA-MDA_60d_11,MDA,60,97,3
2021_USA-MDA_60d_12,MDA,60,98,2
2021_USA-MDA_90d_13,MDA,90,99,1
2021_USA-MDA_90d_14,MDA,90,96,4
2021_USA-MDA_90d_15,MDA,90,98,2
2021_USA-MDA_90d_16,MDA,90,100,0
2021_USA-MDA_90d_17,MDA,90,98,2
2021_USA-MDA_90d_18,MDA,90,98,2
2021_USA-MWH_30d_01,MWH,30,82,18
2021_USA-MWH_30d_02,MWH,30,85,15
2021_USA-MWH_30d_03,MWH,30,81,19
2021_USA-MWH_30d_04,MWH,30,87,13
2021_USA-MWH_30d_05,MWH,30,83,17
2021_USA-MWH_30d_06,MWH,30,88,12
2021_USA-MWH_60d_07,MWH,60,83,17
2021_USA-MWH_60d_08,MWH,60,87,13
2021_USA-MWH_60d_09,MWH,60,80,20
2021_USA-MWH_60d_10,MWH,60,83,17
2021_USA-MWH_60d_11,MWH,60,91,9
2021_USA-MWH_60d_12,MWH,60,89,11
2021_USA-MWH_90d_13,MWH,90,89,11
2021_USA-MWH_90d_14,MWH,90,94,6
2021_USA-MWH_90d_15,MWH,90,84,16
2021_USA-MWH_90d_16,MWH,90,93,7.000000000000001
2021_USA-MWH_90d_17,MWH,90,89,11
2021_USA-MWH_90d_18,MWH,90,93,7.000000000000001
2021_USA-SBH_30d_01,SBH,30,35,65
2021_USA-SBH_30d_02,SBH,30,24,76
2021_USA-SBH_30d_03,SBH,30,29,71
2021_USA-SBH_30d_04,SBH,30,16,84
2021_USA-SBH_30d_05,SBH,30,18,82
2021_USA-SBH_30d_06,SBH,30,18,82
2021_USA-SBH_60d_07,SBH,60,87,13
2021_USA-SBH_60d_08,SBH,60,84,16
2021_USA-SBH_60d_09,SBH,60,75,25
2021_USA-SBH_60d_10,SBH,60,63,37
2021_USA-SBH_60d_11,SBH,60,76,24
2021_USA-SBH_60d_12,SBH,60,62,38
2021_USA-SBH_90d_13,SBH,90,93,7.000000000000001
2021_USA-SBH_90d_14,SBH,90,100,0
2021_USA-SBH_90d_15,SBH,90,98,2
2021_USA-SBH_90d_16,SBH,90,98,2
2021_USA-SBH_90d_17,SBH,90,95,5
2021_USA-SBH_90d_18,SBH,90,97,3
2021_USA-SDB_30d_01,SDB,30,60,40
2021_USA-SDB_30d_02,SDB,30,38,62
2021_USA-SDB_30d_03,SDB,30,54,46
2021_USA-SDB_30d_04,SDB,30,72,28.000000000000004
2021_USA-SDB_30d_05,SDB,30,29,71
2021_USA-SDB_30d_06,SDB,30,32,68
2021_USA-SDB_60d_07,SDB,60,85,15
2021_USA-SDB_60d_08,SDB,60,96,4
2021_USA-SDB_60d_09,SDB,60,85,15
2021_USA-SDB_60d_10,SDB,60,99,1
2021_USA-SDB_60d_11,SDB,60,81,19
2021_USA-SDB_60d_12,SDB,60,95,5
2021_USA-SDB_90d_13,SDB,90,99,1
2021_USA-SDB_90d_14,SDB,90,99,1
2021_USA-SDB_90d_15,SDB,90,99,1
2021_USA-SDB_90d_16,SDB,90,100,0
2021_USA-SDB_90d_17,SDB,90,99,1
2021_USA-SDB_90d_18,SDB,90,96,4
2021_USA-SFB_30d_01,SFB,30,39,61
2021_USA-SFB_30d_02,SFB,30,52,48
2021_USA-SFB_30d_03,SFB,30,53,47
2021_USA-SFB_30d_04,SFB,30,30,70
2021_USA-SFB_30d_05,SFB,30,31,69
2021_USA-SFB_30d_06,SFB,30,61,39
2021_USA-SFB_60d_07,SFB,60,98,2
2021_USA-SFB_60d_08,SFB,60,85,15
2021_USA-SFB_60d_09,SFB,60,100,0
2021_USA-SFB_60d_10,SFB,60,99,1
2021_USA-SFB_60d_11,SFB,60,96,4
2021_USA-SFB_60d_12,SFB,60,95,5
2021_USA-SFB_90d_13,SFB,90,98,2
2021_USA-SFB_90d_14,SFB,90,93,7.000000000000001
2021_USA-SFB_90d_15,SFB,90,91,9
2021_USA-SFB_90d_16,SFB,90,98,2
2021_USA-SFB_90d_17,SFB,90,95,5
2021_USA-SFB_90d_18,SFB,90,98,2
2021_USA-TMA_30d_01,TMA,30,86,14.000000000000002
2021_USA-TMA_30d_02,TMA,30,83,17
2021_USA-TMA_30d_03,TMA,30,96,4
2021_USA-TMA_30d_04,TMA,30,99,1
2021_USA-TMA_30d_05,TMA,30,94,6
2021_USA-TMA_30d_06,TMA,30,85,15
2021_USA-TMA_60d_07,TMA,60,69,31
2021_USA-TMA_60d_08,TMA,60,90,10
2021_USA-TMA_60d_09,TMA,60,86,14.000000000000002
2021_USA-TMA_60d_10,TMA,60,88,12
2021_USA-TMA_60d_11,TMA,60,86,14.000000000000002
2021_USA-TMA_60d_12,TMA,60,95,5
2021_USA-TMA_90d_13,TMA,90,81,19
2021_USA-TMA_90d_14,TMA,90,67,33
2021_USA-TMA_90d_15,TMA,90,91,9
2021_USA-TMA_90d_16,TMA,90,87,13
2021_USA-TMA_90d_17,TMA,90,87,13
2021_USA-TMA_90d_18,TMA,90,83,17
2021_USA-VAS_30d_01,VAS,30,84,16
2021_USA-VAS_30d_02,VAS,30,94,6
2021_USA-VAS_30d_03,VAS,30,77,23
2021_USA-VAS_30d_04,VAS,30,85,15
2021_USA-VAS_30d_05,VAS,30,100,0
2021_USA-VAS_30d_06,VAS,30,92,8
2021_USA-VAS_60d_07,VAS,60,100,0
2021_USA-VAS_60d_08,VAS,60,99,1
2021_USA-VAS_60d_09,VAS,60,99,1
2021_USA-VAS_60d_10,VAS,60,99,1
2021_USA-VAS_60d_11,VAS,60,100,0
2021_USA-VAS_60d_12,VAS,60,99,1
2021_USA-VAS_90d_13,VAS,90,89,11
2021_USA-VAS_90d_14,VAS,90,98,2
2021_USA-VAS_90d_15,VAS,90,98,2
2021_USA-VAS_90d_16,VAS,90,100,0
2021_USA-VAS_90d_17,VAS,90,99,1
2021_USA-VAS_90d_18,VAS,90,94,6
2021_USA-WAS_30d_01,WAS,30,2,98
2021_USA-WAS_30d_02,WAS,30,2,98
2021_USA-WAS_30d_03,WAS,30,1,99
2021_USA-WAS_30d_04,WAS,30,1,99
2021_USA-WAS_30d_05,WAS,30,1,99
2021_USA-WAS_30d_06,WAS,30,1,99
2021_USA-WAS_60d_07,WAS,60,3,97
2021_USA-WAS_60d_08,WAS,60,4,96
2021_USA-WAS_60d_09,WAS,60,3,97
2021_USA-WAS_60d_10,WAS,60,1,99
2021_USA-WAS_60d_11,WAS,60,3,97
2021_USA-WAS_60d_12,WAS,60,6,94
2021_USA-WAS_90d_13,WAS,90,12,88
2021_USA-WAS_90d_14,WAS,90,6,94
2021_USA-WAS_90d_15,WAS,90,4,96
2021_USA-WAS_90d_16,WAS,90,4,96
2021_USA-WAS_90d_17,WAS,90,4,96
2021_USA-WAS_90d_18,WAS,90,10,90
